macrorep i x y cond_mean cond_var cond_mean_err cond_var_err cei lf hf maxcei x_star lf_next hf_next
1.000000000000000000e+00 3.290000000000000000e+02 1.000000000000000021e-02 0.000000000000000000e+00 -9.555530620054810895e-03 2.656821471715354460e-02 -4.709119941218520289e-01 4.801953790667445009e-03 1.156151980681728878e-08 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 2.000000000000000042e-02 0.000000000000000000e+00 -1.646488461717778712e-02 5.157903028694232894e-02 -4.713054209073725964e-01 9.098901540730848503e-03 2.175370403175801539e-06 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 2.999999999999999889e-02 0.000000000000000000e+00 -2.338061962568703869e-02 7.507865930143668709e-02 -4.717011926828491575e-01 1.294218110602517527e-02 2.583275198057318053e-05 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 4.000000000000000083e-02 0.000000000000000000e+00 -3.030592983512466962e-02 9.711052212677467876e-02 -4.721004906893765951e-01 1.637771013408374429e-02 1.119170899166119226e-04 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 5.000000000000000278e-02 0.000000000000000000e+00 -3.724401385755718441e-02 1.177153271311602717e-01 -4.725045066926230608e-01 1.944653466600787181e-02 2.980923830939057918e-04 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 6.000000000000000472e-02 0.000000000000000000e+00 -4.419807620492718914e-02 1.369311459018913713e-01 -4.729144465398358865e-01 2.218531953473631621e-02 6.033849740714608556e-04 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 6.999999999999999278e-02 0.000000000000000000e+00 -5.117132876913017131e-02 1.547934835903961581e-01 -4.733315337588763771e-01 2.462678641875625657e-02 1.028932528025323749e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 8.000000000000000167e-02 0.000000000000000000e+00 -5.816699230549983446e-02 1.713353445152550891e-01 -4.737570132100246134e-01 2.680010478490977774e-02 1.563978456678532386e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 8.999999999999999667e-02 0.000000000000000000e+00 -6.518829792038720317e-02 1.865872931444229055e-01 -4.741921548014546572e-01 2.873124039109173355e-02 2.191402478238702392e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 9.999999999999999167e-02 0.000000000000000000e+00 -7.223848856352059478e-02 2.005775105693283211e-01 -4.746382572794687893e-01 3.044326551258092622e-02 2.891502395253653379e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 1.100000000000000006e-01 0.000000000000000000e+00 -7.932082052583576404e-02 2.133318465751983251e-01 -4.750966521048031743e-01 3.195663459843862964e-02 3.644248603811732490e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 1.199999999999999956e-01 0.000000000000000000e+00 -8.643856494346791042e-02 2.248738674038184004e-01 -4.755687074265755321e-01 3.328942865138448393e-02 4.430494989416829815e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 1.300000000000000044e-01 0.000000000000000000e+00 -9.359500930860031875e-02 2.352248992969790675e-01 -4.760558321657339387e-01 3.445757125088176609e-02 5.232546411740129216e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 1.400000000000000133e-01 0.000000000000000000e+00 -1.007934589878674708e-01 2.444040679010652251e-01 -4.765594802201961189e-01 3.547501880037215449e-02 6.034353450879468422e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 1.500000000000000222e-01 0.000000000000000000e+00 -1.080372387490137059e-01 2.524283336055955784e-01 -4.770811548042289130e-01 3.635392727164157844e-02 6.821503000379321169e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 1.600000000000000033e-01 0.000000000000000000e+00 -1.153296942965129496e-01 2.593125228810079230e-01 -4.776224129350200576e-01 3.710479743849849632e-02 7.581105226998452462e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 1.700000000000000122e-01 0.000000000000000000e+00 -1.226741938168584428e-01 2.650693556735922995e-01 -4.781848700798329577e-01 3.773660033494632277e-02 8.301635082380250108e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 1.800000000000000211e-01 0.000000000000000000e+00 -1.300741295342360826e-01 2.697094689081910301e-01 -4.787702049776145219e-01 3.825688443676384526e-02 8.972761157959009692e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 1.900000000000000022e-01 0.000000000000000000e+00 -1.375329192773007692e-01 2.732414361420906768e-01 -4.793801646494471047e-01 3.867186584704701557e-02 9.585179816924714602e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 2.000000000000000111e-01 0.000000000000000000e+00 -1.450540080577778224e-01 2.756717834064207895e-01 -4.800165696127987602e-01 3.898650256320573826e-02 1.013046406891492807e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 2.100000000000000200e-01 0.000000000000000000e+00 -1.526408696616203264e-01 2.770050012643301973e-01 -4.806813193151346919e-01 3.920455371272169032e-02 1.060093202727530742e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 2.200000000000000011e-01 0.000000000000000000e+00 -1.602970082534562191e-01 2.772435531082195759e-01 -4.813763978031073143e-01 3.932862446538736706e-02 1.098953748825696325e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 2.300000000000000100e-01 0.000000000000000000e+00 -1.680259599950661986e-01 2.763878797113621388e-01 -4.821038796442452812e-01 3.936019715861624468e-02 1.128978431938551519e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 2.400000000000000189e-01 0.000000000000000000e+00 -1.758312946786407538e-01 2.744364000423227257e-01 -4.828659361188162857e-01 3.929964900769408048e-02 1.149566646019090782e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 2.500000000000000000e-01 0.000000000000000000e+00 -1.837166173755696574e-01 2.713855083436790827e-01 -4.836648417003431843e-01 3.914625661256485034e-02 1.160163619652936767e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 2.600000000000000089e-01 0.000000000000000000e+00 -1.916855701015264535e-01 2.672295674696482659e-01 -4.845029808441164154e-01 3.889818731499637000e-02 1.160260492147453110e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 2.700000000000000178e-01 0.000000000000000000e+00 -1.997418334986160726e-01 2.619608984703076793e-01 -4.853828551039638395e-01 3.855247730286517210e-02 1.149398293827778167e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 2.800000000000000266e-01 0.000000000000000000e+00 -2.078891285353631491e-01 2.555697664031664762e-01 -4.863070905985187320e-01 3.810499619996100124e-02 1.127176823791888743e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 3.290000000000000000e+02 2.900000000000000355e-01 0.000000000000000000e+00 -2.161312182253260217e-01 2.480443623458703784e-01 -4.872784458492705473e-01 3.755039771824733585e-02 1.093269901671128225e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
