macrorep i x y cond_mean cond_var cei lf hf maxcei x_star lf_next hf_next
1.000000000000000000e+00 2.520000000000000000e+02 1.000000000000000021e-02 0.000000000000000000e+00 -2.457729378697829509e-02 2.603818478144676041e-02 3.713118937590673644e-12 0.000000000000000000e+00 0.000000000000000000e+00 7.820000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.520000000000000000e+02 2.000000000000000042e-02 0.000000000000000000e+00 -3.174717315859400951e-02 5.055270320885656143e-02 8.202639770264618269e-08 0.000000000000000000e+00 0.000000000000000000e+00 7.820000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.520000000000000000e+02 2.999999999999999889e-02 0.000000000000000000e+00 -3.892367414518670132e-02 7.358885086392397135e-02 3.685233387616567964e-06 0.000000000000000000e+00 0.000000000000000000e+00 7.820000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.520000000000000000e+02 4.000000000000000083e-02 0.000000000000000000e+00 -4.611011137699771306e-02 9.518919173627517216e-02 2.854455446974792348e-05 0.000000000000000000e+00 0.000000000000000000e+00 7.820000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.520000000000000000e+02 5.000000000000000278e-02 0.000000000000000000e+00 -5.330980407354928008e-02 1.153936368691359238e-01 1.041392925263538889e-04 0.000000000000000000e+00 0.000000000000000000e+00 7.820000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.520000000000000000e+02 6.000000000000000472e-02 0.000000000000000000e+00 -6.052607757670160071e-02 1.342395181031383888e-01 2.558007753546446758e-04 0.000000000000000000e+00 0.000000000000000000e+00 7.820000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.520000000000000000e+02 6.999999999999999278e-02 0.000000000000000000e+00 -6.776226488653759594e-02 1.517616570545246568e-01 4.965013827082573328e-04 0.000000000000000000e+00 0.000000000000000000e+00 7.820000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.520000000000000000e+02 8.000000000000000167e-02 0.000000000000000000e+00 -7.502170820078482572e-02 1.679924294551977948e-01 8.273244186857917071e-04 0.000000000000000000e+00 0.000000000000000000e+00 7.820000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.520000000000000000e+02 8.999999999999999667e-02 0.000000000000000000e+00 -8.230776045848553490e-02 1.829618249735012470e-01 1.240971683879411869e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.820000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.520000000000000000e+02 9.999999999999999167e-02 0.000000000000000000e+00 -8.962378688862784881e-02 1.966975026262590687e-01 1.725231550984541659e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.820000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.520000000000000000e+02 1.100000000000000006e-01 0.000000000000000000e+00 -9.697316656445338634e-02 2.092248418844607216e-01 2.265535595412372996e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.820000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.520000000000000000e+02 1.199999999999999956e-01 0.000000000000000000e+00 -1.043592939641589251e-01 2.205669895670195058e-01 2.846610247350802453e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.820000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.520000000000000000e+02 1.300000000000000044e-01 0.000000000000000000e+00 -1.117855805387136109e-01 2.307449026092498190e-01 3.453451814835067218e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.820000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.520000000000000000e+02 1.400000000000000133e-01 0.000000000000000000e+00 -1.192554562875150076e-01 2.397773867850868934e-01 4.071849943380802944e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.820000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.520000000000000000e+02 1.500000000000000222e-01 0.000000000000000000e+00 -1.267723713426125443e-01 2.476811314545975806e-01 4.688628343670082216e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.820000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.520000000000000000e+02 1.600000000000000033e-01 0.000000000000000000e+00 -1.343397975622291907e-01 2.544707404009816099e-01 5.291717012467406916e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.820000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.520000000000000000e+02 1.700000000000000122e-01 0.000000000000000000e+00 -1.419612301343185223e-01 2.601587588140466534e-01 5.870129392877832669e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.820000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.520000000000000000e+02 1.800000000000000211e-01 0.000000000000000000e+00 -1.496401891908966109e-01 2.647556964700082394e-01 6.413890346011145299e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.820000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.520000000000000000e+02 1.900000000000000022e-01 0.000000000000000000e+00 -1.573802214338949346e-01 2.682700471504497197e-01 6.913943073992651067e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.820000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.520000000000000000e+02 2.000000000000000111e-01 0.000000000000000000e+00 -1.651849017732856251e-01 2.707083043363185948e-01 7.362052102303069667e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.820000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.520000000000000000e+02 2.100000000000000200e-01 0.000000000000000000e+00 -1.730578349782347647e-01 2.720749732059600801e-01 7.750712787357581790e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.820000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
