macrorep i x y cond_mean cond_var cond_mean_err cond_var_err cei lf hf maxcei x_star lf_next hf_next
2.000000000000000000e+00 4.000000000000000000e+00 1.000000000000000021e-02 0.000000000000000000e+00 -3.518156036416635046e-02 7.212518435836996755e-02 -8.237791454659652013e-01 1.471679017088148821e-02 2.222183178699491590e-05 0.000000000000000000e+00 0.000000000000000000e+00 7.690000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 4.000000000000000000e+00 2.000000000000000042e-02 0.000000000000000000e+00 -3.945598788944860991e-02 1.366443627930435112e-01 -8.237453140494556125e-01 2.807557889829601083e-02 5.232777413538740666e-04 0.000000000000000000e+00 0.000000000000000000e+00 7.690000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 4.000000000000000000e+00 2.999999999999999889e-02 0.000000000000000000e+00 -4.375600629164813626e-02 1.943318204938466187e-01 -8.237113339683346247e-01 4.019396422219918830e-02 2.009762424714837958e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.690000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 4.000000000000000000e+00 4.000000000000000083e-02 0.000000000000000000e+00 -4.809450688125078976e-02 2.458798561728851861e-01 -8.236771304816417061e-01 5.117862485355778590e-02 4.327499613999193778e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.690000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 4.000000000000000000e+00 5.000000000000000278e-02 0.000000000000000000e+00 -5.248449633704546646e-02 2.919070902397685741e-01 -8.236426283570241758e-01 6.112625927201575243e-02 7.151713736973902558e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.690000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 4.000000000000000000e+00 6.000000000000000472e-02 0.000000000000000000e+00 -5.693913569970941030e-02 3.329658887743396356e-01 -8.236077517052599051e-01 7.012443696711856411e-02 1.022000424047116857e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.690000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 4.000000000000000000e+00 6.999999999999999278e-02 0.000000000000000000e+00 -6.147177982816540154e-02 3.695489923909190400e-01 -8.235724238133343977e-01 7.825236931661221085e-02 1.335594784323621692e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.690000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 4.000000000000000000e+00 8.000000000000000167e-02 0.000000000000000000e+00 -6.609601743699940191e-02 4.020954295460900663e-01 -8.235365669757073182e-01 8.558160688789440140e-02 1.644895156851002016e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.690000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 4.000000000000000000e+00 8.999999999999999667e-02 0.000000000000000000e+00 -7.082571183496964851e-02 4.309957852547622315e-01 -8.235001023233943229e-01 9.217666930099498168e-02 1.943293383097283167e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.690000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 4.000000000000000000e+00 9.999999999999999167e-02 0.000000000000000000e+00 -7.567504248673992406e-02 4.565968884436025221e-01 -8.234629496504911605e-01 9.809561319779899757e-02 2.227071863208877900e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.690000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 4.000000000000000000e+00 1.100000000000000006e-01 0.000000000000000000e+00 -8.065854752243742376e-02 4.792059741940741802e-01 -8.234250272377563462e-01 1.033905433173718247e-01 2.494357744034943203e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.690000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 4.000000000000000000e+00 1.199999999999999956e-01 0.000000000000000000e+00 -8.579116732247780985e-02 4.990943708255519695e-01 -8.233862516728653880e-01 1.081080711764062091e-01 2.744439209646369615e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.690000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
