macrorep i x y cond_mean cond_var cei lf hf maxcei x_star lf_next hf_next
1.000000000000000000e+00 2.720000000000000000e+02 1.000000000000000021e-02 0.000000000000000000e+00 -2.457729378697829509e-02 2.603818478144676041e-02 1.696429829173600216e-11 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 2.000000000000000042e-02 0.000000000000000000e+00 -3.174717315859400951e-02 5.055270320885656143e-02 9.559888770274201791e-08 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 2.999999999999999889e-02 0.000000000000000000e+00 -3.892367414518670132e-02 7.358885086392397135e-02 3.373399643247907320e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 4.000000000000000083e-02 0.000000000000000000e+00 -4.611011137699771306e-02 9.518919173627517216e-02 2.445283733776824377e-05 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 5.000000000000000278e-02 0.000000000000000000e+00 -5.330980407354928008e-02 1.153936368691359238e-01 8.744724258769325138e-05 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 6.000000000000000472e-02 0.000000000000000000e+00 -6.052607757670160071e-02 1.342395181031383888e-01 2.138433073372424803e-04 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 6.999999999999999278e-02 0.000000000000000000e+00 -6.776226488653759594e-02 1.517616570545246568e-01 4.156127996186417990e-04 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 8.000000000000000167e-02 0.000000000000000000e+00 -7.502170820078482572e-02 1.679924294551977948e-01 6.949665382423126855e-04 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 8.999999999999999667e-02 0.000000000000000000e+00 -8.230776045848553490e-02 1.829618249735012470e-01 1.046822504658784583e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 9.999999999999999167e-02 0.000000000000000000e+00 -8.962378688862784881e-02 1.966975026262590687e-01 1.461532301479865140e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 1.100000000000000006e-01 0.000000000000000000e+00 -9.697316656445338634e-02 2.092248418844607216e-01 1.927026769744360352e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 1.199999999999999956e-01 0.000000000000000000e+00 -1.043592939641589251e-01 2.205669895670195058e-01 2.430281136637997205e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 1.300000000000000044e-01 0.000000000000000000e+00 -1.117855805387136109e-01 2.307449026092498190e-01 2.958230999396530003e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 1.400000000000000133e-01 0.000000000000000000e+00 -1.192554562875150076e-01 2.397773867850868934e-01 3.498301092694729164e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 1.500000000000000222e-01 0.000000000000000000e+00 -1.267723713426125443e-01 2.476811314545975806e-01 4.038679714403140691e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 1.600000000000000033e-01 0.000000000000000000e+00 -1.343397975622291907e-01 2.544707404009816099e-01 4.568434140803333959e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 1.700000000000000122e-01 0.000000000000000000e+00 -1.419612301343185223e-01 2.601587588140466534e-01 5.077531280058188157e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 1.800000000000000211e-01 0.000000000000000000e+00 -1.496401891908966109e-01 2.647556964700082394e-01 5.556805435246628400e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 1.900000000000000022e-01 0.000000000000000000e+00 -1.573802214338949346e-01 2.682700471504497197e-01 5.997899965523495469e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 2.000000000000000111e-01 0.000000000000000000e+00 -1.651849017732856251e-01 2.707083043363185948e-01 6.393199869226835058e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 2.100000000000000200e-01 0.000000000000000000e+00 -1.730578349782347647e-01 2.720749732059600801e-01 6.735766209229984702e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 2.200000000000000011e-01 0.000000000000000000e+00 -1.810026573420472074e-01 2.723725789593534063e-01 7.019279666953232022e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 2.300000000000000100e-01 0.000000000000000000e+00 -1.890230383616710030e-01 2.716016714839361579e-01 7.237998554395372319e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 2.400000000000000189e-01 0.000000000000000000e+00 -1.971226824325386373e-01 2.697608263706327003e-01 7.386735838693432588e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 2.500000000000000000e-01 0.000000000000000000e+00 -2.053053305595257116e-01 2.668466422819676387e-01 7.460859861359379896e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 2.600000000000000089e-01 0.000000000000000000e+00 -2.135747620848196526e-01 2.628537346673999742e-01 7.456324342985223841e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 2.700000000000000178e-01 0.000000000000000000e+00 -2.219347964334945078e-01 2.577747258142659703e-01 7.369734957526699604e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 2.800000000000000266e-01 0.000000000000000000e+00 -2.303892948775995431e-01 2.516002312159464904e-01 7.198462352094869843e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 2.900000000000000355e-01 0.000000000000000000e+00 -2.389421623195754352e-01 2.443188422320753395e-01 6.940815198750699411e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.720000000000000000e+02 2.999999999999999889e-01 0.000000000000000000e+00 -2.475973490958224277e-01 2.359171050087434107e-01 6.596292017364762533e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.890000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
