macrorep i x y cond_mean cond_var cond_mean_err cond_var_err cei lf hf maxcei x_star lf_next hf_next
0.000000000000000000e+00 1.290000000000000000e+02 1.000000000000000021e-02 0.000000000000000000e+00 4.525032852771567610e-02 1.180621346492485846e-02 -5.084693333522526393e-01 2.795361126471550359e-03 4.005027999610418340e-20 0.000000000000000000e+00 0.000000000000000000e+00 7.670000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 1.290000000000000000e+02 2.000000000000000042e-02 0.000000000000000000e+00 4.518341227073877087e-02 2.230647930877839580e-02 -5.056126495685997480e-01 5.241154626686843516e-03 1.797459932759958490e-13 0.000000000000000000e+00 0.000000000000000000e+00 7.670000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 1.290000000000000000e+02 2.999999999999999889e-02 0.000000000000000000e+00 4.511644477681631821e-02 3.151688199507225036e-02 -5.027391293421273888e-01 7.366273836391942255e-03 9.136372443362274609e-11 0.000000000000000000e+00 0.000000000000000000e+00 7.670000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 1.290000000000000000e+02 4.000000000000000083e-02 0.000000000000000000e+00 4.504940040295211945e-02 3.945153015573422961e-02 -4.998402923602394132e-01 9.195823811602821946e-03 2.570040361891453832e-09 0.000000000000000000e+00 0.000000000000000000e+00 7.670000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 1.290000000000000000e+02 5.000000000000000278e-02 0.000000000000000000e+00 4.498225347671132301e-02 4.612257820292074012e-02 -4.969075835957102449e-01 1.075141790671481530e-02 1.950898373157733794e-08 0.000000000000000000e+00 0.000000000000000000e+00 7.670000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 1.290000000000000000e+02 6.000000000000000472e-02 0.000000000000000000e+00 4.491497828639001710e-02 5.154024494732615397e-02 -4.939323480591483739e-01 1.205143310346032393e-02 7.209441964190030286e-08 0.000000000000000000e+00 0.000000000000000000e+00 7.670000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 1.290000000000000000e+02 6.999999999999999278e-02 0.000000000000000000e+00 4.484754907116979272e-02 5.571282925150928406e-02 -4.909058052564531094e-01 1.311122710703859114e-02 1.694641364112537179e-07 0.000000000000000000e+00 0.000000000000000000e+00 7.670000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 1.290000000000000000e+02 8.000000000000000167e-02 0.000000000000000000e+00 4.477994001125348844e-02 5.864672274221439247e-02 -4.878190232758824463e-01 1.394331977407871348e-02 2.900337572440938588e-07 0.000000000000000000e+00 0.000000000000000000e+00 7.670000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 1.290000000000000000e+02 8.999999999999999667e-02 0.000000000000000000e+00 4.471212521797832129e-02 6.034641960116034903e-02 -4.846628924282579964e-01 1.455754101573160895e-02 3.879465270448732953e-07 0.000000000000000000e+00 0.000000000000000000e+00 7.670000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 1.290000000000000000e+02 9.999999999999999167e-02 0.000000000000000000e+00 4.464407872390269150e-02 6.081452344929492992e-02 -4.814280983625147670e-01 1.496114692314146934e-02 4.196357756322787987e-07 0.000000000000000000e+00 0.000000000000000000e+00 7.670000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
